Sentiment,labels,clean_sentiment
"For a movie that gets no respect there sure are a lot of memorable quotes listed for this gem. Imagine a movie where Joe Piscopo is actually funny! Maureen Stapleton is a scene stealer. The Moroni character is an absolute scream. Watch for Alan ""The Skipper"" Hale jr. as a police Sgt.",pos,movie gets respect sure lot memorable quotes listed gem imagine movie joe piscopo actually funny maureen stapleton scene stealer moroni character absolute scream watch alan skipper hale jr police sgt
"Bizarre horror movie filled with famous faces but stolen by Cristina Raines (later of TV's ""Flamingo Road"") as a pretty but somewhat unstable model with a gummy smile who is slated to pay for her attempted suicides by guarding the Gateway to Hell! The scenes with Raines modeling are very well captured, the mood music is perfect, Deborah Raffin is charming as Cristina's pal, but when Raines moves into a creepy Brooklyn Heights brownstone (inhabited by a blind priest on the top floor), things really start cooking. The neighbors, including a fantastically wicked Burgess Meredith and kinky couple Sylvia Miles & Beverly D'Angelo, are a diabolical lot, and Eli Wallach is great fun as a wily police detective. The movie is nearly a cross-pollination of ""Rosemary's Baby"" and ""The Exorcist""--but what a combination! Based on the best-seller by Jeffrey Konvitz, ""The Sentinel"" is entertainingly spooky, full of shocks brought off well by director Michael Winner, who mounts a thoughtfully downbeat ending with skill. ***1/2 from ****",pos,bizarre horror movie filled famous faces stolen cristina raines later tvs flamingo road pretty somewhat unstable model gummy smile slated pay attempted suicides guarding gateway hell scenes raines modeling well captured mood music perfect deborah raffin charming cristinas pal raines moves creepy brooklyn heights brownstone inhabited blind priest top floor things really start cooking neighbors including fantastically wicked burgess meredith kinky couple sylvia miles beverly dangelo diabolical lot eli wallach great fun wily police detective movie nearly crosspollination rosemarys baby exorcistbut combination based bestseller jeffrey konvitz sentinel entertainingly spooky full shocks brought well director michael winner mounts thoughtfully downbeat ending skill 12
"A solid, if unremarkable film. Matthau, as Einstein, was wonderful. My favorite part, and the only thing that would make me go out of my way to see this again, was the wonderful scene with the physicists playing badmitton, I loved the sweaters and the conversation while they waited for Robbins to retrieve the birdie.",pos,solid unremarkable film matthau einstein wonderful favorite part thing would make go way see wonderful scene physicists playing badmitton loved sweaters conversation waited robbins retrieve birdie
"It's a strange feeling to sit alone in a theater occupied by parents and their rollicking kids. I felt like instead of a movie ticket, I should have been given a NAMBLA membership.<br /><br />Based upon Thomas Rockwell's respected Book, How To Eat Fried Worms starts like any children's story: moving to a new town. The new kid, fifth grader Billy Forrester was once popular, but has to start anew. Making friends is never easy, especially when the only prospect is Poindexter Adam. Or Erica, who at 4 1/2 feet, is a giant.<br /><br />Further complicating things is Joe the bully. His freckled face and sleeveless shirts are daunting. He antagonizes kids with the Death Ring: a Crackerjack ring that is rumored to kill you if you're punched with it. But not immediately. No, the death ring unleashes a poison that kills you in the eight grade.<br /><br />Joe and his axis of evil welcome Billy by smuggling a handful of slimy worms into his thermos. Once discovered, Billy plays it cool, swearing that he eats worms all the time. Then he throws them at Joe's face. Ewww! To win them over, Billy reluctantly bets that he can eat 10 worms. Fried, boiled, marinated in hot sauce, squashed and spread on a peanut butter sandwich. Each meal is dubbed an exotic name like the ""Radioactive Slime Delight,"" in which the kids finally live out their dream of microwaving a living organism.<br /><br />If you've ever met me, you'll know that I have an uncontrollably hearty laugh. I felt like a creep erupting at a toddler whining that his ""dilly dick"" hurts. But Fried Worms is wonderfully disgusting. Like a G-rated Farrelly brothers film, it is both vomitous and delightful.<br /><br />Writer/director Bob Dolman is also a savvy storyteller. To raise the stakes the worms must be consumed by 7 pm. In addition Billy holds a dark secret: he has an ultra-sensitive stomach.<br /><br />Dolman also has a keen sense of perspective. With such accuracy, he draws on children's insecurities and tendency to exaggerate mundane dilemmas.<br /><br />If you were to hyperbolize this movie the way kids do their quandaries, you will see that it is essentially about war. Freedom-fighter and freedom-hater use pubescent boys as pawns in proxy wars, only to learn a valuable lesson in unity. International leaders can learn a thing or two about global peacekeeping from Fried Worms.<br /><br />At the end of the film, I was comforted when two chaperoning mothers behind me, looked at each other with befuddlement and agreed, ""That was a great movie."" Great, now I won't have to register myself in any lawful databases.",pos,strange feeling sit alone theater occupied parents rollicking kids felt like instead movie ticket given nambla membershipbr br based upon thomas rockwells respected book eat fried worms starts like childrens story moving new town new kid fifth grader billy forrester popular start anew making friends never easy especially prospect poindexter adam erica 4 12 feet giantbr br complicating things joe bully freckled face sleeveless shirts daunting antagonizes kids death ring crackerjack ring rumored kill youre punched immediately death ring unleashes poison kills eight gradebr br joe axis evil welcome billy smuggling handful slimy worms thermos discovered billy plays cool swearing eats worms time throws joes face ewww win billy reluctantly bets eat 10 worms fried boiled marinated hot sauce squashed spread peanut butter sandwich meal dubbed exotic name like radioactive slime delight kids finally live dream microwaving living organismbr br youve ever met youll know uncontrollably hearty laugh felt like creep erupting toddler whining dilly dick hurts fried worms wonderfully disgusting like grated farrelly brothers film vomitous delightfulbr br writerdirector bob dolman also savvy storyteller raise stakes worms must consumed 7 pm addition billy holds dark secret ultrasensitive stomachbr br dolman also keen sense perspective accuracy draws childrens insecurities tendency exaggerate mundane dilemmasbr br hyperbolize movie way kids quandaries see essentially war freedomfighter freedomhater use pubescent boys pawns proxy wars learn valuable lesson unity international leaders learn thing two global peacekeeping fried wormsbr br end film comforted two chaperoning mothers behind looked befuddlement agreed great movie great wont register lawful databases
"You probably all already know this by now, but 5 additional episodes never aired can be viewed on ABC.com I've watched a lot of television over the years and this is possibly my favorite show, ever. It's a crime that this beautifully written and acted show was canceled. The actors that played Laura, Whit, Carlos, Mae, Damian, Anya and omg, Steven Caseman - are all incredible and so natural in those roles. Even the kids are great. Wonderful show. So sad that it's gone. Of course I wonder about the reasons it was canceled. There is no way I'll let myself believe that Ms. Moynahan's pregnancy had anything to do with it. It was in the perfect time slot in this market. I've watched all the episodes again on ABC.com - I hope they all come out on DVD some day. Thanks for reading.",pos,probably already know 5 additional episodes never aired viewed abccom ive watched lot television years possibly favorite show ever crime beautifully written acted show canceled actors played laura whit carlos mae damian anya omg steven caseman incredible natural roles even kids great wonderful show sad gone course wonder reasons canceled way ill let believe ms moynahans pregnancy anything perfect time slot market ive watched episodes abccom hope come dvd day thanks reading
"I saw the movie with two grown children. Although it was not as clever as Shrek, I thought it was rather good. In a movie theatre surrounded by children who were on spring break, there was not a sound so I know the children all liked it. There parents also seemed engaged. The death and apparent death of characters brought about the appropriate gasps and comments. Hopefully people realize this movie was made for kids. As such, it was successful although I liked it too. Personally I liked the Scrat!!",pos,saw movie two grown children although clever shrek thought rather good movie theatre surrounded children spring break sound know children liked parents also seemed engaged death apparent death characters brought appropriate gasps comments hopefully people realize movie made kids successful although liked personally liked scrat
"You're using the IMDb.<br /><br />You've given some hefty votes to some of your favourite films.<br /><br />It's something you enjoy doing.<br /><br />And it's all because of this. Fifty seconds. One world ends, another begins.<br /><br />How can it not be given a ten? I wonder at those who give this a seven or an eight... exactly how could THE FIRST FILM EVER MADE be better? For the record, the long, still opening shot is great showmanship, a superb innovation, perfectly suited to the situation. And the dog on the bike is a lovely touch. All this within fifty seconds.<br /><br />The word genius is often overused.<br /><br />THIS is genius.",pos,youre using imdbbr br youve given hefty votes favourite filmsbr br something enjoy doingbr br fifty seconds one world ends another beginsbr br given ten wonder give seven eight exactly could first film ever made better record long still opening shot great showmanship superb innovation perfectly suited situation dog bike lovely touch within fifty secondsbr br word genius often overusedbr br genius
"This was a good film with a powerful message of love and redemption. I loved the transformation of the brother and the repercussions of the horrible disease on the family. Well-acted and well-directed. If there were any flaws, I'd have to say that the story showed the typical suburban family and their difficulties again. What about all people of all cultural backgrounds? I would love to see a movie where all of these cultures are shown - like in real life. Nevertheless, the film soared in terms of its values and its understanding of the how a disease can bring someone closer to his or her maker. Loved the film and it brought tears to my eyes",pos,good film powerful message love redemption loved transformation brother repercussions horrible disease family wellacted welldirected flaws id say story showed typical suburban family difficulties people cultural backgrounds would love see movie cultures shown like real life nevertheless film soared terms values understanding disease bring someone closer maker loved film brought tears eyes
"Made after QUARTET was, TRIO continued the quality of the earlier film versions of the short stories by Maugham. Here the three stories are THE VERGER, MR. KNOW-IT-ALL, and SANITORIUM. The first two are comic (THE VERGER is like a prolonged joke, but one with a good pay-off), and the last more serious (as health issues are involved). Again the author introduces the film and the stories.<br /><br />James Hayter, soon to have his signature role as Samuel Pickwick, is the hero in THE VERGER. He holds this small custodial-type job in a church, but the new Vicar (Michael Hordern) is an intellectual snob. When he hears Hayter has no schooling he fires him. Hayter has saved some money, so he tells his wife (Kathleen Harrison) he fancies buying a small news and tobacco shop. He has a good eye, and his store thrives. Soon he has a whole chain of stores. When his grandchild is christened by Hordern, the latter is amazed to see how prosperous his ex-Verger. The payoff is when bank manager Felix Aylmer meets with Hayter about diversifying his investments. I'll leave it to you to hear the unintentional but ironic coda of the meeting.<br /><br />According to Maugham he met a man like Max Kelada (Nigel Patrick) on a cruise. In MR. KNOW-IT-ALL Kelada is a splashy, friendly, and slightly overbearing type from the Middle East who is on a business trip (regarding jewelry) by steamship. His state-room mate is Mr. Grey (the ever quiet and proper Wilfred Hyde-White) who is somewhat, silently disapproving of Max. Max likes to enliven things, and soon is heavily involved in the ship's entertainment. At this point the story actually resembles part of the plot of the non-Maugham story and film CHINA SEAS (1935), as Max makes a bet that he can tell a real piece of jewelry from a fake (after insisting that a piece of jewelry he spotted is real). I won't describe the way Max rises to the occasion.<br /><br />SANITORIUM is the longest segment. Roland Culver plays ""Ashenden"" (the fictional alter-ego of Maugham - a writer and one time spy as in Hitchcock's THE SECRET AGENT). Here he has to use a sanitorium for a couple of months for his health. He finds a remarkable crew of people, including Jean Simmons as a frail but beautiful young woman, Finlay Currie as an irascible Scotsman, John Laurie as a second irascible Scotsman who is ""at war"" with Currie, Raymond Huntley as a quiet patient who only shows his internal anger at his situation when his wife shows up, and Michael Rennie as a young man who has a serious life threatening illness. Culver watches as three stories among these characters play out to their conclusions. The last, dealing with Simmons and Rennie, is ironic but deeply moving.<br /><br />It was a dandy follow-up to the earlier QUARTET, and well worth watching.",pos,made quartet trio continued quality earlier film versions short stories maugham three stories verger mr knowitall sanitorium first two comic verger like prolonged joke one good payoff last serious health issues involved author introduces film storiesbr br james hayter soon signature role samuel pickwick hero verger holds small custodialtype job church new vicar michael hordern intellectual snob hears hayter schooling fires hayter saved money tells wife kathleen harrison fancies buying small news tobacco shop good eye store thrives soon whole chain stores grandchild christened hordern latter amazed see prosperous exverger payoff bank manager felix aylmer meets hayter diversifying investments ill leave hear unintentional ironic coda meetingbr br according maugham met man like max kelada nigel patrick cruise mr knowitall kelada splashy friendly slightly overbearing type middle east business trip regarding jewelry steamship stateroom mate mr grey ever quiet proper wilfred hydewhite somewhat silently disapproving max max likes enliven things soon heavily involved ships entertainment point story actually resembles part plot nonmaugham story film china seas 1935 max makes bet tell real piece jewelry fake insisting piece jewelry spotted real wont describe way max rises occasionbr br sanitorium longest segment roland culver plays ashenden fictional alterego maugham writer one time spy hitchcocks secret agent use sanitorium couple months health finds remarkable crew people including jean simmons frail beautiful young woman finlay currie irascible scotsman john laurie second irascible scotsman war currie raymond huntley quiet patient shows internal anger situation wife shows michael rennie young man serious life threatening illness culver watches three stories among characters play conclusions last dealing simmons rennie ironic deeply movingbr br dandy followup earlier quartet well worth watching
"For a mature man, to admit that he shed a tear over this film is a mature response, to a mature film.<br /><br />If one need admit more then perhaps one could say that, ""Life"" can never be the same, after viewing such advent for it has moved us to the next level.<br /><br />",pos,mature man admit shed tear film mature response mature filmbr br one need admit perhaps one could say life never viewing advent moved us next levelbr br
"Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank. She has a lovely scene with Roshan Seth in a restaurant. There's more information on her website at >Having stated my personal interest in the film, I have to say that I think it is a beautiful movie - moving, funny and beautifully filmed.",pos,aileen gonsalves girlfriend film playing secretary main characters bank lovely scene roshan seth restaurant theres information website stated personal interest film say think beautiful movie moving funny beautifully filmed
